<attribute name>,RebalanceFlag,,,,,,,,,,,,,,,,,,,,,
<owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<association>,Portfolio Return,,,,,,,,,,,,,,,,,,,,,
<type>,Real Number,,,,,,,,,,,,,,,,,,,,,
<maximum age>,1 day,,,,,,,,,,,,,,,,,,,,,
<portfolio>,BK_CAE5EST_GEMLT_BTP,,,,,,,,,,,,,,,,,,,,,
<portfolio owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<date>,<value>,<currency>,,,,,,,,,,,,,,,,,,,,
7/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/28/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
7/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
